N	Seq1	Seq2	Seq3	Seq4
1245	1076 | SA150_1076 | . | SSU ribosomal protein S16p | dir | [1167495..1167770]	1086 | SA597_1086 | . | SSU ribosomal protein S16p | dir | [1173571..1173846]	1130 | K8B78_05785 | rpsP | 30S ribosomal protein S16 | dir | [1215475..1215750]	1081 | HMPRNC0000_1304 | rpsP | SSU ribosomal protein S16p | dir | [1228033..1228308]
1246	1077 | SA150_1077 | . | 16S rRNA processing protein RimM | dir | [1167958..1168461]	1087 | SA597_1087 | . | 16S rRNA processing protein RimM | dir | [1174034..1174537]	1131 | K8B78_05790 | rimM | ribosome maturation factor RimM | dir | [1215938..1216441]	1082 | HMPRNC0000_1305 | rimM | 16S rRNA processing protein RimM | dir | [1228496..1228999]
1247	1078 | SA150_1078 | . | tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) | dir | [1168461..1169198]	1088 | SA597_1088 | . | tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) | dir | [1174537..1175274]	1132 | K8B78_05795 | trmD | tRNA (guanosine(37)-N1)-methyltransferase TrmD | dir | [1216441..1217178]	1083 | HMPRNC0000_1306 | trmD | tRNA (guanine(37)-N(1))-methyltransferase | dir | [1228999..1229736]
1248	1079 | SA150_1079 | . | LSU ribosomal protein L19p | dir | [1169301..1169651]	1089 | SA597_1089 | . | LSU ribosomal protein L19p | dir | [1175377..1175727]	1133 | K8B78_05800 | rplS | 50S ribosomal protein L19 | dir | [1217281..1217631]	1084 | HMPRNC0000_1307 | rplS | LSU ribosomal protein L19p | dir | [1229839..1230189]
1249	1080 | SA150_1080 | . | hypothetical protein | rev | [1170236..1172842]	1090 | SA597_1090 | . | hypothetical protein | rev | [1175969..1178575]	1134 | K8B78_05805 | yfhO | lipoteichoic acid-specific glycosyltransferase YfhO | rev | [1217875..1220481]	1085 | HMPRNC0000_1308 | . | hypothetical protein | rev | [1230423..1232924]
1250	1081 | SA150_1081 | . | LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF) | dir | [1173243..1174127]	1091 | SA597_1091 | . | LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF) | dir | [1178976..1179860]	1135 | K8B78_05810 | ylqF | ribosome biogenesis GTPase YlqF | dir | [1220882..1221766]	1086 | HMPRNC0000_1310 | ylqF | LSU ribosomal maturation GTPase RbgA | dir | [1233432..1234316]
1252	1082 | SA150_1082 | . | Ribonuclease HII (EC 3.1.26.4) | dir | [1174111..1174878]	1092 | SA597_1092 | . | Ribonuclease HII (EC 3.1.26.4) | dir | [1179844..1180611]	1136 | K8B78_05815 | . | ribonuclease HII | dir | [1221750..1222517]	1087 | HMPRNC0000_1311 | rnhB | Ribonuclease HII | dir | [1234300..1235067]
1253	1083 | SA150_1083 | . | Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5) | dir | [1174987..1176153]	1093 | SA597_1093 | . | Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5) | dir | [1180720..1181886]	1137 | K8B78_05820 | sucC | ADP-forming succinate--CoA ligase subunit beta | dir | [1222626..1223792]	1088 | HMPRNC0000_1312 | sucC | Succinyl-CoA ligase (ADP-forming) beta chain | dir | [1235176..1236342]
1254	1084 | SA150_1084 | . | Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5) | dir | [1176175..1177083]	1094 | SA597_1094 | . | Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5) | dir | [1181908..1182816]	1138 | K8B78_05825 | sucD | succinate--CoA ligase subunit alpha | dir | [1223814..1224722]	1089 | HMPRNC0000_1313 | sucD | Succinyl-CoA ligase (ADP-forming) alpha chain | dir | [1236364..1237272]
1257	1087 | SA150_1087 | . | Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake | dir | [1179873..1180745]	1097 | SA597_1097 | . | Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake | dir | [1185607..1186479]	1141 | K8B78_05840 | dprA | DNA-processing protein DprA | dir | [1227511..1228383]	1090 | HMPRNC0000_1314 | dprA | Rossmann fold nucleotide-binding protein Smf | dir | [1237596..1238468]
1258	1088 | SA150_1088 | . | DNA topoisomerase I (EC 5.99.1.2) | dir | [1180919..1182994]	1098 | SA597_1098 | . | DNA topoisomerase I (EC 5.99.1.2) | dir | [1186653..1188728]	1142 | K8B78_05845 | topA | type I DNA topoisomerase | dir | [1228557..1230632]	1091 | HMPRNC0000_1315 | topA | DNA topoisomerase I | dir | [1238641..1240716]
1259	1089 | SA150_1089 | . | Methylenetetrahydrofolate--tRNA-(uracil-5-)- methyltransferase TrmFO (EC 2.1.1.74) | dir | [1183150..1184457]	1099 | SA597_1099 | . | Methylenetetrahydrofolate--tRNA-(uracil-5-)- methyltransferase TrmFO (EC 2.1.1.74) | dir | [1188884..1190191]	1143 | K8B78_05850 | trmFO | methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO | dir | [1230788..1232095]	1092 | HMPRNC0000_1316 | trmFO | Methylenetetrahydrofolate--tRNA-(uracil-5-)- methyltransferase TrmFO | dir | [1240872..1242179]
1261	1091 | SA150_1091 | . | ATP-dependent protease subunit HslV (EC 3.4.25.2) | dir | [1185767..1186312]	1101 | SA597_1101 | . | ATP-dependent protease subunit HslV (EC 3.4.25.2) | dir | [1191502..1192047]	1145 | K8B78_05860 | hslV | ATP-dependent protease subunit HslV | dir | [1233406..1233951]	1093 | HMPRNC0000_1317 | hslV | ATP-dependent protease subunit HslV | dir | [1243487..1244032]
1262	1092 | SA150_1092 | . | ATP-dependent hsl protease ATP-binding subunit HslU | dir | [1186378..1187781]	1102 | SA597_1102 | . | ATP-dependent hsl protease ATP-binding subunit HslU | dir | [1192113..1193516]	1146 | K8B78_05865 | hslU | ATP-dependent protease ATPase subunit HslU | dir | [1234017..1235420]	1094 | HMPRNC0000_1318 | hslU | ATP-dependent hsl protease ATP-binding subunit HslU | dir | [1244098..1245501]
1263	1093 | SA150_1093 | . | GTP-sensing transcriptional pleiotropic repressor CodY | dir | [1187806..1188579]	1103 | SA597_1103 | . | GTP-sensing transcriptional pleiotropic repressor CodY | dir | [1193541..1194314]	1147 | K8B78_05870 | codY | GTP-sensing pleiotropic transcriptional regulator CodY | dir | [1235445..1236218]	1095 | HMPRNC0000_1319 | codY | GTP-sensing transcriptional pleiotropic repressor codY | dir | [1245526..1246299]
1264	1094 | SA150_1094 | . | SSU ribosomal protein S2p (SAe) | dir | [1188921..1189688]	1104 | SA597_1104 | . | SSU ribosomal protein S2p (SAe) | dir | [1194656..1195423]	1149 | K8B78_05880 | rpsB | 30S ribosomal protein S2 | dir | [1236560..1237327]	1096 | HMPRNC0000_1320 | rpsB | SSU ribosomal protein S2p (SAe) | dir | [1246641..1247408]
1266	1096 | SA150_1096 | . | Translation elongation factor Ts | dir | [1189870..1190751]	1105 | SA597_1105 | . | Translation elongation factor Ts | dir | [1195605..1196486]	1151 | K8B78_05890 | tsf | translation elongation factor Ts | dir | [1237509..1238390]	1097 | HMPRNC0000_1321 | tsf | Translation elongation factor Ts | dir | [1247922..1248470]
1267	1097 | SA150_1097 | . | Uridylate kinase (EC 2.7.4.22) | dir | [1190888..1191610]	1106 | SA597_1106 | . | Uridylate kinase (EC 2.7.4.22) | dir | [1196623..1197345]	1152 | K8B78_05895 | pyrH | UMP kinase | dir | [1238527..1239249]	1098 | HMPRNC0000_1322 | pyrH | Uridine monophosphate kinase | dir | [1248607..1249329]
1268	1098 | SA150_1098 | . | Ribosome recycling factor | dir | [1191629..1192183]	1107 | SA597_1107 | . | Ribosome recycling factor | dir | [1197364..1197918]	1153 | K8B78_05900 | frr | ribosome recycling factor | dir | [1239268..1239822]	1099 | HMPRNC0000_1323 | frr | Ribosome recycling factor | dir | [1249348..1249902]
1269	1099 | SA150_1099 | . | Undecaprenyl diphosphate synthase (EC 2.5.1.31) | dir | [1192556..1193326]	1108 | SA597_1108 | . | Undecaprenyl diphosphate synthase (EC 2.5.1.31) | dir | [1198290..1199060]	1154 | K8B78_05905 | . | isoprenyl transferase | dir | [1240195..1240965]	1100 | HMPRNC0000_1324 | uppS | Undecaprenyl diphosphate synthase | dir | [1250275..1251045]
1270	1100 | SA150_1100 | . | Phosphatidate cytidylyltransferase (EC 2.7.7.41) | dir | [1193333..1194115]	1109 | SA597_1109 | . | Phosphatidate cytidylyltransferase (EC 2.7.7.41) | dir | [1199067..1199849]	1155 | K8B78_05910 | . | phosphatidate cytidylyltransferase | dir | [1240972..1241754]	1101 | HMPRNC0000_1325 | cdsA | Phosphatidate cytidylyltransferase | dir | [1251052..1251834]
1271	1101 | SA150_1101 | . | Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage | dir | [1194327..1195613]	1110 | SA597_1110 | . | Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage | dir | [1200061..1201347]	1156 | K8B78_05915 | rseP | RIP metalloprotease RseP | dir | [1241966..1243252]	1102 | HMPRNC0000_1326 | rseP | Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage | dir | [1252021..1253307]
1272	1102 | SA150_1102 | . | Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type | dir | [1195633..1197336]	1111 | SA597_1111 | . | Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type | dir | [1201367..1203070]	1157 | K8B78_05920 | . | proline--tRNA ligase | dir | [1243272..1244975]	1103 | HMPRNC0000_1327 | proS | Prolyl-tRNA synthetase, bacterial type | dir | [1253327..1255030]
1273	1103 | SA150_1103 | . | DNA polymerase III polC-type (EC 2.7.7.7) | dir | [1197594..1201910]	1112 | SA597_1112 | . | DNA polymerase III polC-type (EC 2.7.7.7) | dir | [1203328..1207644]	1158 | K8B78_05925 | . | PolC-type DNA polymerase III | dir | [1245239..1249549]	1104 | HMPRNC0000_1328 | polC | DNA polymerase III polC-type | dir | [1255288..1259604]
1274	1104 | SA150_1104 | . | Bacterial ribosome SSU maturation protein RimP | dir | [1202200..1202667]	1113 | SA597_1113 | . | Bacterial ribosome SSU maturation protein RimP | dir | [1207934..1208401]	1159 | K8B78_05930 | rimP | ribosome maturation factor RimP | dir | [1249839..1250306]	1105 | HMPRNC0000_1330 | . | Bacterial ribosome SSU maturation protein RimP | dir | [1259894..1260361]
1275	1105 | SA150_1105 | . | Transcription termination protein NusA | dir | [1202688..1203863]	1114 | SA597_1114 | . | Transcription termination protein NusA | dir | [1208422..1209597]	1160 | K8B78_05935 | nusA | transcription termination factor NusA | dir | [1250327..1251502]	1106 | HMPRNC0000_1331 | nusA | Transcription termination protein NusA | dir | [1260382..1261557]
1276	1106 | SA150_1106 | . | COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination | dir | [1203884..1204168]	1115 | SA597_1115 | . | COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination | dir | [1209618..1209902]	1161 | K8B78_05940 | . | YlxR family protein | dir | [1251523..1251807]	1107 | HMPRNC0000_1332 | . | putative nucleic-acid-binding protein implicated in transcription termination | dir | [1261578..1261835]
1277	1107 | SA150_1107 | . | Ribosomal protein L7Ae family protein YlxQ | dir | [1204165..1204482]	1116 | SA597_1116 | . | Ribosomal protein L7Ae family protein YlxQ | dir | [1209899..1210216]	1162 | K8B78_05945 | . | YlxQ family RNA-binding protein | dir | [1251804..1252121]	1108 | HMPRNC0000_1333 | rplL2 | Ribosomal protein L7Ae family protein YlxQ | dir | [1261858..1262175]
1278	1108 | SA150_1108 | . | Translation initiation factor 2 | dir | [1204487..1206604]	1117 | SA597_1117 | . | Translation initiation factor 2 | dir | [1210221..1212338]	1163 | K8B78_05950 | infB | translation initiation factor IF-2 | dir | [1252126..1254243]	1109 | HMPRNC0000_1334 | infB | Translation initiation factor 2 | dir | [1262180..1264297]
1279	1109 | SA150_1109 | . | Ribosome-binding factor A | dir | [1206990..1207340]	1118 | SA597_1118 | . | Ribosome-binding factor A | dir | [1212725..1213075]	1164 | K8B78_05955 | rbfA | 30S ribosome-binding factor RbfA | dir | [1254630..1254980]	1110 | HMPRNC0000_1336 | rbfA | Ribosome-binding factor A | dir | [1264683..1265033]
1280	1110 | SA150_1110 | . | tRNA pseudouridine(55) synthase (EC 5.4.99.25) | dir | [1207509..1208426]	1119 | SA597_1119 | . | tRNA pseudouridine(55) synthase (EC 5.4.99.25) | dir | [1213245..1214162]	1165 | K8B78_05960 | truB | tRNA pseudouridine(55) synthase TruB | dir | [1255149..1256066]	1111 | HMPRNC0000_1337 | truB | tRNA pseudouridine(55) synthase | dir | [1265202..1266119]
1281	1111 | SA150_1111 | . | FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26) | dir | [1208441..1209412]	1120 | SA597_1120 | . | FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26) | dir | [1214177..1215148]	1166 | K8B78_05965 | ribF | riboflavin biosynthesis protein RibF | dir | [1256081..1257052]	1112 | HMPRNC0000_1338 | ribF | FMN adenylyltransferase / Riboflavin kinase | dir | [1266134..1267105]
1282	1112 | SA150_1112 | . | SSU ribosomal protein S15p (S13e) | dir | [1209527..1209796]	1121 | SA597_1121 | . | SSU ribosomal protein S15p (S13e) | dir | [1215263..1215532]	1167 | K8B78_05970 | rpsO | 30S ribosomal protein S15 | dir | [1257167..1257436]	1113 | HMPRNC0000_1339 | rpsO | SSU ribosomal protein S15p (S13e) | dir | [1267220..1267489]
1283	1113 | SA150_1113 | . | Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) | dir | [1210166..1212262]	1122 | SA597_1122 | . | Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) | dir | [1215901..1217997]	1168 | K8B78_05975 | pnp | polyribonucleotide nucleotidyltransferase | dir | [1257805..1259901]	1114 | HMPRNC0000_1340 | pnp | Polyribonucleotide nucleotidyltransferase | dir | [1267859..1269955]
1284	1114 | SA150_1114 | . | Ribonuclease J2 (endoribonuclease in RNA processing) | dir | [1212498..1214171]	1123 | SA597_1123 | . | Ribonuclease J2 (endoribonuclease in RNA processing) | dir | [1218233..1219906]	1169 | K8B78_05980 | . | ribonuclease J | dir | [1260137..1261810]	1115 | HMPRNC0000_1341 | . | Ribonuclease J2 (endoribonuclease in RNA processing) | dir | [1270140..1271864]
1285	1115 | SA150_1115 | . | DNA translocase FtsK | dir | [1214428..1216797]	1124 | SA597_1124 | . | DNA translocase FtsK | dir | [1220161..1222530]	1170 | K8B78_05985 | . | DNA translocase FtsK | dir | [1262067..1264436]	1116 | HMPRNC0000_1342 | . | DNA translocase FtsK | dir | [1272245..1274488]
1286	1116 | SA150_1116 | . | Transcriptional regulator in cluster with Zn-dependent hydrolase | dir | [1216802..1217515]	1125 | SA597_1125 | . | Transcriptional regulator in cluster with Zn-dependent hydrolase | dir | [1222535..1223248]	1171 | K8B78_05990 | . | GntR family transcriptional regulator | dir | [1264441..1265154]	1117 | HMPRNC0000_1343 | . | Transcriptional regulator in cluster with Zn-dependent hydrolase | dir | [1274493..1275206]
1287	1117 | SA150_1117 | . | FIG001621: Zinc protease | dir | [1217546..1218811]	1126 | SA597_1126 | . | FIG001621: Zinc protease | dir | [1223279..1224544]	1172 | K8B78_05995 | . | insulinase family protein | dir | [1265185..1266450]	1118 | HMPRNC0000_1344 | . | Zinc protease | dir | [1275237..1276502]
1288	1118 | SA150_1118 | . | Uncharacterized zinc protease YmfH | dir | [1218811..1220097]	1127 | SA597_1127 | . | Uncharacterized zinc protease YmfH | dir | [1224544..1225830]	1173 | K8B78_06000 | . | insulinase family protein | dir | [1266450..1267736]	1119 | HMPRNC0000_1345 | . | zinc protease YmfH | dir | [1276502..1277788]
1289	1119 | SA150_1119 | . | 3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter | dir | [1220097..1220801]	1128 | SA597_1128 | . | 3-oxoacyl-[acyl-carrier protein] reductase paralog (EC 1.1.1.100) in cluster with unspecified monosaccharide transporter | dir | [1225830..1226534]	1174 | K8B78_06005 | . | SDR family NAD(P)-dependent oxidoreductase | dir | [1267736..1268440]	1120 | HMPRNC0000_1346 | phbB | 3-oxoacyl-(acyl-carrier protein) reductase | dir | [1277788..1278492]
1290	1120 | SA150_1120 | . | FIG00003568: ACT domain protein | dir | [1220906..1221733]	1129 | SA597_1129 | . | FIG00003568: ACT domain protein | dir | [1226639..1227466]	1175 | K8B78_06010 | . | YmfK family protein | dir | [1268545..1269372]	1121 | HMPRNC0000_1347 | . | ACT domain protein | dir | [1278597..1279424]
1291	1121 | SA150_1121 | . | hypothetical protein | dir | [1221752..1222144]	1130 | SA597_1130 | . | hypothetical protein | dir | [1227485..1227877]	1176 | K8B78_06015 | . | helix-turn-helix domain-containing protein | dir | [1269391..1269783]	1122 | HMPRNC0000_1348 | . | hypothetical protein | dir | [1279443..1279835]
1292	1122 | SA150_1122 | . | CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) | dir | [1222178..1222756]	1131 | SA597_1131 | . | CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) | dir | [1227911..1228489]	1177 | K8B78_06020 | pgsA | CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase | dir | [1269817..1270395]	1123 | HMPRNC0000_1349 | pgsA | CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase | dir | [1279869..1280447]
1293	1123 | SA150_1123 | . | ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42) | dir | [1222982..1224133]	1132 | SA597_1132 | . | ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42) | dir | [1228715..1229866]	1178 | K8B78_06025 | . | CinA family nicotinamide mononucleotide deamidase-related protein | dir | [1270620..1271771]	1124 | HMPRNC0000_1350 | cinA | Nicotinamide-nucleotide amidase | dir | [1280673..1281824]
1294	1124 | SA150_1124 | . | RecA protein | dir | [1224298..1225341]	1133 | SA597_1133 | . | RecA protein | dir | [1230031..1231074]	1179 | K8B78_06030 | recA | recombinase RecA | dir | [1271936..1272979]	1125 | HMPRNC0000_1351 | recA | RecA protein | dir | [1281989..1283032]
1295	1125 | SA150_1125 | . | Ribonuclease Y | dir | [1225695..1227254]	1134 | SA597_1134 | . | Ribonuclease Y | dir | [1231428..1232987]	1180 | K8B78_06035 | rny | ribonuclease Y | dir | [1273333..1274892]	1126 | HMPRNC0000_1352 | cvfA | Ribonuclease Y | dir | [1283386..1284984]
1296	1126 | SA150_1126 | . | hypothetical protein | rev | [1227551..1227766]	1135 | SA597_1135 | . | hypothetical protein | rev | [1233285..1233500]	1182 | K8B78_06045 | . | hypothetical protein | rev | [1277105..1277320]	1127 | HMPRNC0000_1353 | . | hypothetical protein | rev | [1285241..1285456]
1297	1127 | SA150_1127 | . | 2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB | dir | [1227940..1228737]	1136 | SA597_1136 | . | 2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB | dir | [1233674..1234471]	1183 | K8B78_06050 | . | TIGR00282 family metallophosphoesterase | dir | [1277494..1278291]	1128 | HMPRNC0000_1354 | . | YmdB | dir | [1285630..1286427]
1298	1128 | SA150_1128 | . | 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-) / 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-) | dir | [1228877..1230637]	1137 | SA597_1137 | . | 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-) / 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-) | dir | [1234611..1236371]	1184 | K8B78_06055 | . | 2-oxoacid:acceptor oxidoreductase subunit alpha | dir | [1278431..1280191]	1129 | HMPRNC0000_1355 | . | 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma/alpha subunit | dir | [1286567..1288327]
1299	1129 | SA150_1129 | . | 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-) | dir | [1230638..1231504]	1138 | SA597_1138 | . | 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-) | dir | [1236372..1237238]	1185 | K8B78_06060 | . | 2-oxoacid:ferredoxin oxidoreductase subunit beta | dir | [1280192..1281058]	1130 | HMPRNC0000_1356 | porB | 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit | dir | [1288328..1289194]
1300	1130 | SA150_1130 | . | hypothetical protein | dir | [1231598..1231891]	1139 | SA597_1139 | . | hypothetical protein | dir | [1237331..1237624]	1186 | K8B78_06065 | . | MTH1187 family thiamine-binding protein | dir | [1281153..1281446]	1131 | HMPRNC0000_1358 | . | hypothetical protein | dir | [1289287..1289580]
1301	1131 | SA150_1131 | . | tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3) | dir | [1232025..1233569]	1140 | SA597_1140 | . | tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3) | dir | [1237758..1239302]	1187 | K8B78_06070 | miaB | tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB | dir | [1281580..1283124]	1132 | HMPRNC0000_1359 | miaB | tRNA-i(6)A37 methylthiotransferase | dir | [1289714..1291258]
1302	1132 | SA150_1132 | . | hypothetical protein | dir | [1233570..1233935]	1141 | SA597_1141 | . | hypothetical protein | dir | [1239303..1239668]	1188 | K8B78_06075 | . | RicAFT regulatory complex protein RicA family protein | dir | [1283125..1283490]	1133 | HMPRNC0000_1361 | . | hypothetical protein | dir | [1291259..1291624]
1303	1133 | SA150_1133 | . | Substrate-specific component ThiW of predicted thiazole ECF transporter | dir | [1233962..1234453]	1142 | SA597_1142 | . | Substrate-specific component ThiW of predicted thiazole ECF transporter | dir | [1239695..1240186]	1189 | K8B78_06080 | thiW | energy coupling factor transporter S component ThiW | dir | [1283517..1284008]	1134 | HMPRNC0000_1362 | thiW | Substrate-specific component ThiW of predicted thiazole ECF transporter | dir | [1291651..1292136]
1304	1134 | SA150_1134 | . | DNA mismatch repair protein MutS | dir | [1234756..1237374]	1143 | SA597_1143 | . | DNA mismatch repair protein MutS | dir | [1240489..1243107]	1190 | K8B78_06085 | mutS | DNA mismatch repair protein MutS | dir | [1284311..1286929]	1135 | HMPRNC0000_1363 | mutS | DNA mismatch repair protein MutS | dir | [1292444..1295062]
1306	1135 | SA150_1135 | . | DNA mismatch repair protein MutL | dir | [1237387..1239396]	1144 | SA597_1144 | . | DNA mismatch repair protein MutL | dir | [1243120..1245129]	1191 | K8B78_06090 | mutL | DNA mismatch repair endonuclease MutL | dir | [1286942..1288951]	1136 | HMPRNC0000_1364 | mutL | DNA mismatch repair protein MutL | dir | [1295075..1297084]
1307	1136 | SA150_1136 | . | Glycerol-3-phosphate responsive antiterminator (mRNA-binding) | dir | [1239411..1239944]	1145 | SA597_1145 | . | Glycerol-3-phosphate responsive antiterminator (mRNA-binding) | dir | [1245144..1245677]	1192 | K8B78_06095 | . | glycerol-3-phosphate responsive antiterminator | dir | [1288957..1289499]	1137 | HMPRNC0000_1365 | glpP | Glycerol-3-phosphate responsive antiterminator (mRNA-binding) | dir | [1297099..1297632]
1309	1138 | SA150_1138 | . | Glycerol uptake facilitator protein | dir | [1240419..1241237]	1146 | SA597_1146 | . | Glycerol uptake facilitator protein | dir | [1246152..1246970]	1193 | K8B78_06100 | . | aquaporin family protein | dir | [1289974..1290792]	1138 | HMPRNC0000_1366 | glpF | Glycerol uptake facilitator protein | dir | [1298107..1298925]
1310	1139 | SA150_1139 | . | Glycerol kinase (EC 2.7.1.30) | dir | [1241366..1242862]	1147 | SA597_1147 | . | Glycerol kinase (EC 2.7.1.30) | dir | [1247100..1248596]	1194 | K8B78_06105 | glpK | glycerol kinase GlpK | dir | [1290922..1292418]	1139 | HMPRNC0000_1367 | glpK | Glycerol kinase | dir | [1299054..1300550]
1311	1140 | SA150_1140 | . | Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3) | dir | [1243020..1244693]	1148 | SA597_1148 | . | Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3) | dir | [1248754..1250427]	1195 | K8B78_06110 | . | glycerol-3-phosphate dehydrogenase/oxidase | dir | [1292576..1294249]	1140 | HMPRNC0000_1368 | glpD | Aerobic glycerol-3-phosphate dehydrogenase | dir | [1301121..1302380]
1312	1141 | SA150_1141 | . | Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23) | dir | [1244840..1245757]	1149 | SA597_1149 | . | Lysophospholipase (EC 3.1.1.5); Monoglyceride lipase (EC 3.1.1.23) | dir | [1250577..1251491]	1196 | K8B78_06115 | . | alpha/beta hydrolase | dir | [1294399..1295313]	1141 | HMPRNC0000_1369 | . | Lysophospholipase, Monoglyceride lipase | dir | [1302527..1303468]
1313	1142 | SA150_1142 | . | tRNA dimethylallyltransferase (EC 2.5.1.75) | dir | [1245775..1246710]	1150 | SA597_1150 | . | tRNA dimethylallyltransferase (EC 2.5.1.75) | dir | [1251509..1252444]	1197 | K8B78_06120 | miaA | tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA | dir | [1295331..1296266]	1142 | HMPRNC0000_1370 | miaA | tRNA dimethylallyltransferase | dir | [1303461..1304456]
1314	1143 | SA150_1143 | . | RNA-binding protein Hfq | dir | [1246725..1246958]	1151 | SA597_1151 | . | RNA-binding protein Hfq | dir | [1252459..1252692]	1198 | K8B78_06125 | hfq | RNA chaperone Hfq | dir | [1296281..1296514]	1143 | HMPRNC0000_1371 | hfq | RNA-binding protein Hfq | dir | [1304410..1304643]
1315	1144 | SA150_1144 | . | Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15) | rev | [1247180..1247656]	1152 | SA597_1152 | . | Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15) | rev | [1252914..1253390]	1199 | K8B78_06130 | . | glutathione peroxidase | rev | [1296736..1297212]	1144 | HMPRNC0000_1372 | gpo2 | Glutathione peroxidase and Thioredoxin peroxidase | rev | [1304865..1305341]
1316	1145 | SA150_1145 | . | Ribosome LSU-associated GTP-binding protein HflX | dir | [1247768..1249006]	1153 | SA597_1153 | . | Ribosome LSU-associated GTP-binding protein HflX | dir | [1253502..1254740]	1200 | K8B78_06135 | hflX | GTPase HflX | dir | [1297324..1298562]	1145 | HMPRNC0000_1373 | hflX | Ribosome LSU-associated GTP-binding protein HflX | dir | [1305453..1306691]
1317	1146 | SA150_1146 | . | Aluminum resistance protein | dir | [1249025..1250263]	1154 | SA597_1154 | . | Aluminum resistance protein | dir | [1254759..1255997]	1201 | K8B78_06140 | . | aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme | dir | [1298581..1299819]	1146 | HMPRNC0000_1374 | . | Aluminum resistance protein | dir | [1306710..1307948]
1318	1147 | SA150_1147 | . | FemC, factor involved in methicillin resistance / Glutamine synthetase repressor | dir | [1250507..1250875]	1155 | SA597_1155 | . | FemC, factor involved in methicillin resistance / Glutamine synthetase repressor | dir | [1256241..1256609]	1202 | K8B78_06145 | . | MerR family transcriptional regulator | dir | [1300063..1300431]	1148 | HMPRNC0000_1377 | glnR | FemC, factor involved in methicillin resistance / Glutamine synthetase repressor | dir | [1309712..1310080]
